,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony 96W DELL ASUS DC for Toshiba 4-5A,1267 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942144691.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-0&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",1
1,US $12.96,Portable Charger Power-Adapter Laptops Eu-Plug Acer Universal Toshiba 96W Dell Asus 24V,428 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-1&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",2
2,US $7.04,Flashcolor Laptop-Charger-Adapter Universal DC AC 110-220v PC 96W 20V/24V,54 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32500831234.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-2&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",3
3,US $12.48,Adapter Laptop Charger X551x451c Power-Supply 19V Asus for EU AC X452E,21 Sold,Zoolhong Official Store,https://www.aliexpress.com/store/1729075,"https://www.aliexpress.com/item/32889473658.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-3&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",4
4,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop 8-Detachable-Plugs Universal,859 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-4&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",5
5,US $13.60,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell 90W,1180 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-5&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",6
6,US $20.50,Replacement Notebook Charger Power-Adaptor Laptop Acer Universal 19V for 135W,2 Sold,E-electricity Store,https://www.aliexpress.com/store/1452638,"https://www.aliexpress.com/item/32488602804.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-6&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",7
7,US $6.95,Laptop-Adapter-Charger Power X101CH T101H 1005 Asus 1001PX Eeepc 19v 2.1a AC for X101ch/T101h/1005hab/..,55 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32814207406.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-7&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",8
8,US $41.90,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone,40 Sold,"Shenzhen Qirui Co., Ltd. Store",https://www.aliexpress.com/store/832431,"https://www.aliexpress.com/item/32619544738.html?s=p&algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-8&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",9
9,US $17.28 - 18.85,Car-Charger Power-Supply-Adapter Laptop Universal Multifunction Mobile-Phone/notebook,54 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/32327844257.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-9&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",10
10,US $8.21,HSW LAPTOP CHARGER ADAPTER Power-Supply DV3 Hp Pavilion 19v 4.74a 90w FOR Dv3/Dv4/Dv5/Dv6,440 Sold,SINWIN ELECTONIC Store,https://www.aliexpress.com/store/734968,"https://www.aliexpress.com/item/32888170029.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-10&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",11
11,US $8.54,For Samsung 19v 3.16a 60w Q330 R540 RV510 RV511 Laptop Adapter Charger Power Supply,67 Sold,KANGDA Digital Technology's store,https://www.aliexpress.com/store/909161,"https://www.aliexpress.com/item/2026489757.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-11&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",12
12,US $6.50,Charger Power-Adapter Laptops Acer Lenovo Universal Toshiba Portable 96W Dell Asus 24v,81 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/32992125132.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-12&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",13
13,US $9.68 - 29.68,Charger Power-Adapter Laptop Apple A1534 Macbook Type-C A1706 USB-C 29W 61W for A1534/A1706/A1707/..,126 Sold,SYan Store,https://www.aliexpress.com/store/4966084,"https://www.aliexpress.com/item/33002994221.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-13&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",14
14,US $8.66,Replacement Notebook-Adapter Power-Charger Universal 96W Laptop Dell/hp New for Adjustable,3 Sold,Y&K 3C Digital Store,https://www.aliexpress.com/store/1500813,"https://www.aliexpress.com/item/4000221258205.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-14&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",15
15,US $9.49,Charger 20V Laptop Power-Adapter G400 G500 G505 Thinkpad S230U Lenovo Yoga X230S 65W,59 Sold,KANGDA Digital Technology's store,https://www.aliexpress.com/store/909161,"https://www.aliexpress.com/item/32982582725.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-15&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",16
16,US $7.60,Laptop-Adapter Power-Supply-Charger D630 E5440 E6420 E6330 Dell Latitude D620,270 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32954541840.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-16&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",17
17,US $10.87,Laptop Charger Power-Adapter 33W S200L X202E 19v 1.75a ASUS S220x453m EU for Adp-33aw/S200e/X202e/..,207 Sold,Smma Store,https://www.aliexpress.com/store/3253041,"https://www.aliexpress.com/item/32865455717.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-17&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",18
18,US $15.30,ASUS Adapter Power-Charger X550V X551CA X555 19V X501LA 45W for Laptop AC X450x450l,225 Sold,"Shenzhen NewNet Expansion Trading Co., Ltd Store",https://www.aliexpress.com/store/119025,"https://www.aliexpress.com/item/32959239179.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-18&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",19
19,US $7.99,Laptop-Adapter-Charger Notebook Power-Supply R528 R440 R478 Samsung R540 R430 19v 3.16a,24 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32791059639.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-19&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",20
20,US $6.58,Charger Adapter Aspire Laptop D257 Acer NU 19v 1.58a 30W for Aspire/One/Aoa110/..,152 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32789060934.html?algo_pvid=47794a5c-22f5-43c2-8f5b-26bc60285b98&algo_expid=47794a5c-22f5-43c2-8f5b-26bc60285b98-20&btsid=263c7c05-0d05-44eb-87fc-2a1924d11c0b&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52",21
