,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $13,Portable Charger Power-Adapter Laptops Acer Universal Toshiba Dell Asus 12V 24V 34pcs,841 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-0&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",1
1,US $6.17,Power-Adapter-Charger Lenovo Universal DELL Laptop Sony ASUS DC 96W for Toshiba 4-5A,26 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-1&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",2
2,US $7.35 - 12.82,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell 90W,177 Sold,CoolEra Store,https://www.aliexpress.com/store/4491031,"https://www.aliexpress.com/item/32993977479.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-2&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",3
3,US $6.17,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 20V 16V 24V DC 15V AC 18V,588 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-3&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",4
4,US $7.23,Power Laptop-Adapter Notebook-Charger R510 R530 Samsung R540 19v 3.16a for R429/Rv411/R428/..,599 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32601553379.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-4&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",5
5,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop 8-Detachable-Plugs Universal Car,922 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-5&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",6
6,US $8.81,Charger Laptop Adapter Power-Supply-Charger-Cord Notebook Universal Envy4 for AC HP,165 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32788932952.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-6&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",7
7,US $11.11 - 11.23,Adapter Power-Supply Notebook Car-Charger Laptop Universal DC in 5A for 100W AC,151 Sold,Ur Pro Digital Store,https://www.aliexpress.com/store/4998150,"https://www.aliexpress.com/item/33055562905.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-7&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",8
8,US $6.11,Charger Adapter Laptop Lenovo Thinkpad ADLX45NCC3A 20V 45W for Adlx45nlc3/Adlx45ndc3a/Adlx45ncc3a/..,41 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/4000189550426.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-8&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",9
9,US $10.10,Connector-Plug Charger Power-Supply-Adapter Laptop Conversion-Head Jack DC 34pcs,34 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d&algo_expid=eeca16ca-6c6e-4e61-9582-e37c3ecffb8d-9&btsid=c022c660-837b-4f80-ba7c-596401acbe84&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_53",10
