,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $11.80,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell 90W,1127 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-0&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",1
1,US $13,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba,765 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-1&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",2
2,US $10.10,Connector-Plug Charger Power-Supply-Adapter Conversion-Head Jack Laptop 34pcs DC,32 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-2&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",3
3,US $6.50,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 96W 20V 24V DC 15V 18V,604 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-3&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",4
4,US $11.44,Replacement Laptop-Adapter Charger Notebook Lenovo Universal 120W Power for DC,48 Sold,FastMarket Store,https://www.aliexpress.com/store/2670063,"https://www.aliexpress.com/item/33048089282.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-4&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",5
5,US $6.16 - 9.25,CARPRIE Eu-Plug Notebook Power-Charger Laptop Ac Adapter Charging Universal 96W for Mar9,140 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/32799435466.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-5&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",6
6,US $8.29,Power-Suppy-Adapter Notebook-Charger Laptop Acer Aspire 19v 3.42a 6920 5315 New for 5315/5630/5735/..,916 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32632600938.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-6&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",7
7,US $6.93,Flashcolor Power-Adapter-Charger Laptop Ac Lenovo Universal DELL ASUS Sony 96W DC,174 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32631213146.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-7&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",8
8,US $42.90,LCD Third Generation Smart Multifunctional Universal Power Supply Home or Car Charger Laptop Adapter 90W with USB2.4A for Phone,128 Sold,"Shenzhen Crture Technology Co., Ltd",https://www.aliexpress.com/store/421091,"https://www.aliexpress.com/item/32617572014.html?s=p&algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-8&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",9
9,US $7.88 - 7.92,Charger Notebook Support Power-Supply Laptop Ac Adapter Universal 100W for in Car DC,71 Sold,Clarice Store,https://www.aliexpress.com/store/5085197,"https://www.aliexpress.com/item/33063807272.html?algo_pvid=2df5f7df-057f-4f11-ad50-a2bb639793eb&algo_expid=2df5f7df-057f-4f11-ad50-a2bb639793eb-9&btsid=61fb93dc-fded-474f-a0f9-fb6aeb82e561&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",10
