,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $13,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,1276 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-0&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $15.01,Charger Power-Adapter Laptops Acer Universal Portable Toshiba Dell Asus 24V 34pcs 96W,1394 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-1&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $6.50,Universal Charger Adaptor Power-Supply-Adapter Adjustable Ac Dc 20V 18V 19V 24V 15V 96W,577 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-2&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $13,Charger Power-Adapter Universal Laptop Lenovo Acer 28-Connectors Dell-Hp Samsung 19v 3.42a,22 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000801699996.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-3&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5A,842 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-4&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $8,Power-Adapter-Charger Laptop Lenovo Universal DELL ASUS DC 96W for Sony Toshiba 4-5.5A,190 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-5&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $6.50,Adapter Motor Notebook Power-Charger Laptop Charging 775 Universal 555 for And 555/775/795/Motor,88 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269668140.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-6&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $9.90,Power-Adapter-Charger Laptop Lenovo Universal DELL ASUS 120W DC for Sony Toshiba 4-6A,88 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/32992952441.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-7&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $10,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Sony Samsung Toshiba 19v 4.74a,135 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802085227.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-8&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $10.50,Charger Power-Adapter Universal Laptop Lenovo Acer Dell-Hp 19v 4.74a Samsung 32-Connectors,20 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/33003521931.html?algo_pvid=21140645-4cb6-4e13-a036-4c2aa232262e&algo_expid=21140645-4cb6-4e13-a036-4c2aa232262e-9&btsid=0b86d81615885365778514083e2888&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
