,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $8.27 - 10.33,Adapter Universal Laptop Charger Power-Supply DC AC 96W US 110-240V G2 20V/24V,1281 Sold,faststone Store,https://www.aliexpress.com/store/4999116,"https://www.aliexpress.com/item/4000987765905.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-0&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $13,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,9 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-1&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $11.95,Adapter Power-Supply Universal Charger-Cord Notebook Laptop 120W for New Support AC,1395 Sold,Clarice Store,https://www.aliexpress.com/store/5085197,"https://www.aliexpress.com/item/33059497970.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-2&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $14.57,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Asus 24V 34pcs 96W,25 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-3&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $13,Charger Power-Adapter Universal Laptop Lenovo Acer 28-Connectors Dell-Hp Samsung 19v 3.42a,594 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000801699996.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-4&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $6.02 - 8.43,Power-Charger-Adapter Laptop Universal Different-Connectors Optional-Power 96W with And,193 Sold,Shop4992103 Store,https://www.aliexpress.com/store/4992103,"https://www.aliexpress.com/item/4000053369113.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-5&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $8,Charger Adaptor Power-Supply-Adapter Universal Adjustable Ac Dc 19V 24V 15V 20V 18V 96W,858 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-6&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $8,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5.5A,230 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-7&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $6.50 - 11,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5A,136 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-8&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $8,Laptop-Adapter Power-Supply-Set Notebooks Led-Charger Adjustable Acer Universal HP Dell,96 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269649106.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-9&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
10,US $10,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Sony Toshiba 19v 4.74a DELL,4 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802085227.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-10&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",11
11,US $8,Adapter Motor Notebook Power-Charger Laptop Eu-Plug Charging 775 Universal 555 795,4 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269668140.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-11&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",12
12,US $6.90,Charger Power-Supply-Adapter 6470b Probook 19v 4.74a DC AC 90W for HP 4440s/4535s/4530s/..,26 Sold,Missxiaomo Store,https://www.aliexpress.com/store/1228758,"https://www.aliexpress.com/item/4000185487561.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-12&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",13
13,US $4.94,Charger Power-Supply-Adapter-Set Laptop Notebook Universal DC 80W Car Auto for Support,202 Sold,Clarice Store,https://www.aliexpress.com/store/5085197,"https://www.aliexpress.com/item/33062838670.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-13&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",14
14,US $10,Power-Adapter-Charger Laptop Lenovo Sony Universal DELL ASUS DC 96W 5A 4-5.5A AC 20V/24V,14 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802021757.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-14&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",15
15,US $6.99,Laptop-Notebook-Adapter Computer-Charger Auto-Power-Supply-Set Universal Adjustable DC,47 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32788890852.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-15&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",16
16,US $10,Adapter Motor Power-Charger Notebook Laptop Charging Universal 795 for And 555/775/795/Motor,104 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802038499.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-16&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",17
17,US $8.19,Adapter Power-Supply-Charger Notebook Computer-Charging Universal Laptop 96W EU for PC,29 Sold,niceol Store,https://www.aliexpress.com/store/932203,"https://www.aliexpress.com/item/32964185065.html?algo_pvid=6dd19854-56af-499e-8571-d9c752fa11ef&algo_expid=6dd19854-56af-499e-8571-d9c752fa11ef-17&btsid=0bb47a1a15887093849025797e4005&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",18
