,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $13,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,1276 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-0&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $11.95,Adapter Charger-Cord Universal 120W Notebook Laptop Power-Supply for New Support AC,9 Sold,Clarice Store,https://www.aliexpress.com/store/5085197,"https://www.aliexpress.com/item/33059497970.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-1&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $8.27 - 10.33,Adapter Charger Universal Laptop Power-Supply DC AC 96W US 110-240V G2 20V/24V,1394 Sold,faststone Store,https://www.aliexpress.com/store/4999116,"https://www.aliexpress.com/item/4000987765905.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-2&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $14.57,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Asus 24V 34pcs 96W,23 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-3&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $13,Charger Power-Adapter Universal Laptop Lenovo Acer 28-Connectors Dell-Hp Samsung 19v 3.42a,581 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000801699996.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-4&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $8,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 4A 20V 24V DC 15V AC 18V,226 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-5&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $8,Laptop-Adapter Power-Supply-Set Notebooks Led-Charger Adjustable Acer Universal HP Dell,848 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269649106.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-6&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5A,194 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-7&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $8,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5.5A,20 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-8&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $10.50,Charger Power-Adapter Universal Laptop Lenovo Dell-Hp 19v 4.74a Samsung 32-Connectors,136 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/33003521931.html?algo_pvid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef&algo_expid=3bd361c6-3ab4-467d-9652-a4fbef7a51ef-9&btsid=0b01114515886229745912979e339c&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
