,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS 20V/24V 96W DC for Toshiba,986 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/DC-12V-15V-16V-18V-19V-20V-24V-4-5A-96W-Laptop-AC-Universal-Power-Adapter/32942144691.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-0&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",1
1,US $13.69,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Asus 24V 96W 12V,73 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/34Pcs-Universal-Power-Adapter-96W-12V-To-24V-Adjustable-Portable-Charger-For-Dell-Toshiba-Hp-Asus/33035020392.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-1&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",2
2,US $7.35 - 12.83,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,147 Sold,CoolEra Store,https://www.aliexpress.com/store/4491031,"https://www.aliexpress.com/item/19V-4-74A-90W-Universal-Power-Adapter-Charger-For-Acer-Asus-Dell-HP-Lenovo-Samsung-Toshiba/32993977479.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-2&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",3
3,US $10.62 - 10.76,Adapter Power-Supply Notebook Car-Charger Laptop Universal in DC 5A for 100W AC,53 Sold,Ur Pro Digital Store,https://www.aliexpress.com/store/4998150,"https://www.aliexpress.com/item/DC-In-Car-Charger-Notebook-Universal-AC-Adapter-Power-Supply-For-Laptop-100W-5A-Drop-shippingWholesale/33055562905.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-3&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",4
4,US $10.75,Inverter Adapter-Cord Connectors Car-Charger Power-Supply Laptop Universal 8xtip EU,44 Sold,Your 3C Friends Store,https://www.aliexpress.com/store/3513002,"https://www.aliexpress.com/item/Universal-8xTip-Connectors-AC-DC-To-DC-Inverter-Car-Charger-Power-Supply-Adpter-With-Car-Charger/32858191355.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-4&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",5
5,US $6.50,Adapter Power-Charger Motor Notebook Laptop Charging Universal for 555 775 795 And AC,116 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/HOT-96W-Universal-Power-Charger-Charging-AC-Adapter-EU-US-UK-Plug-For-Laptop-NotebooK-and/32942053060.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-5&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",6
6,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop 8-Detachable-Plugs Universal,773 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/Universal-Car-80W-Power-LED-Auto-Car-Charger-Adjustable-Power-Supply-Adapter-Set-8-Detachable-Plugs/32810164959.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-6&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",7
7,US $17.58 - 19.58,Charger Power-Adapter Laptop Apple Macbook L-Tip Youpin New 60W 85W 45W for Air-Pro 11-13-15-17-Ms--1,58 Sold,Laptop adapter factory store Store,https://www.aliexpress.com/store/4992156,"https://www.aliexpress.com/item/Youpin-New-45W-60W-85W-MS-1-L-Tip-Laptop-Power-Adapter-Charger-For-Apple-MacbooK/4000223489312.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-7&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",8
8,US $18.58 - 20.58,Charger Power-Adapter Laptop Apple Macbook Youpin 45W New T-Tip 60W 85W for Air-Pro 11-13-15-17-Ms--2,52 Sold,Laptop adapter factory store Store,https://www.aliexpress.com/store/4992156,"https://www.aliexpress.com/item/Youpin-New-45W-60W-85W-MS-2-T-Tip-Laptop-Power-Adapter-Charger-For-Apple-MacbooK/4000223461794.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-8&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",9
9,US $6,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 20V 24V 15V AC 18V 96W,512 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/96W-Notebook-Adapter-12V-15V-16V-18V-19V-4-5A-20V-24V-4A-AC-DC-Adaptor/33002563321.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-9&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",10
10,US $7.25,Flashcolor Laptop-Charger-Adapter Universal Laptop 20V/24V AC DC 110-220v PC 96W,38 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/Flashcolor-110-220v-AC-To-DC-12V-15V-16V-18V-19V-20V-24V-Laptop-Charger-Adapter/32500831234.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-10&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",11
11,US $13.20,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V,1206 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/19V-4-74A-90W-Universal-Power-Adapter-Charger-For-Acer-Asus-Dell-HP-Lenovo-Samsung-Toshiba/32597758635.html?s=p&algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-11&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",12
12,US $11.36,Power-Adapter-Charger Laptop Sony VAIO AC for Sve171e13m/Vgp-ac19v19/Vgp-ac19v20/..,11 Sold,DBJBA DBJBA Store,https://www.aliexpress.com/store/1830550,"https://www.aliexpress.com/item/19-5V-3-9A-Laptop-Ac-Power-Adapter-Charger-for-Sony-VAIO-SVE171E13M-VGP-AC19V19-VGP/32672034760.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-12&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",13
13,US $6.50,Charger Laptop-Charger-Adapter Netbook Power-Supply Universal Laptop 20V/24V AC 96W PC,65 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/96W-Universal-Laptop-PC-Netbook-Power-Supply-Charger-110-220v-AC-To-DC-12V-15V-16V/32992033664.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-13&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",14
14,US $14.57,Ingelon Laptop Charger Notebook Power-Adapter Adjustable Car Universal Lader Portable,138 Sold,Digital PY Store,https://www.aliexpress.com/store/2801093,"https://www.aliexpress.com/item/Ingelon-Portable-cargador-Universal-portatil-80W-Notebook-DC-15v-19v-to-24v-power-adapter-Adjustable-car/32954653412.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-14&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",15
15,US $9.11,Power-Adapter-Charger U400 Toshiba Laptop PA5034U-1ACA 19V for S40-a/U400/U405/..,14 Sold,DBJBA DBJBA Store,https://www.aliexpress.com/store/1830550,"https://www.aliexpress.com/item/19V-3-95A-laptop-AC-power-adapter-charger-PA5034U-1ACA-PA3715E-1AC3-PA3468E-1AC3-For-Toshiba/33027410897.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-15&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",16
16,US $17.22,Adapter Charger Laptop VGP-AC19V27 Sony Vaio Original 90W for Vgp-ac19v25/Vgp-ac19v26/Vgp-ac19v27,4 Sold,Auregon Store,https://www.aliexpress.com/store/728900,"https://www.aliexpress.com/item/Genuine-Original-90W-19-5V-Laptop-AC-Adapter-Charger-for-Sony-Vaio-VGP-AC19V25-VGP-AC19V26/32821069855.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-16&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",17
17,US $8.29,Power-Suppy-Adapter Notebook-Charger Aspire Laptop Acer 7520 19v 3.42a 5535 New for 5315/5630/5735/..,532 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/New-19V-3-42A-5-5x1-7mm-Power-Suppy-Adapter-For-Acer-Aspire-Laptop-5315-5630/32632600938.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-17&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",18
18,US $8.81,Charger Laptop Adapter Power-Supply-Charger-Cord Notebook Universal Envy4 for AC HP,119 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/Universal-Power-Supply-Charger-For-Notebook-AC-Laptop-Adapter-Charger-For-HP-Power-Supply-Charger-Cord/32788932952.html?algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-18&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",19
19,US $41.90,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone,25 Sold,"Shenzhen Qirui Co., Ltd. Store",https://www.aliexpress.com/store/832431,"https://www.aliexpress.com/item/Third-Generation-LCD-Smart-Universal-AC-Charger-Laptop-Adapter-for-HP-DELL-Samsung-Lenovo-Asus-ACER/32619544738.html?s=p&algo_pvid=76fdacf6-7031-4345-8094-701737775b2c&algo_expid=76fdacf6-7031-4345-8094-701737775b2c-19&btsid=dc4984c7-f340-43ce-8c08-7e5dceac9bfc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_53",20
