,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $11.40,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V,1225 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-0&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",1
1,US $6.50,DC 12V/15V/16V/18V/19V/20V/24V 4-5A 96W Laptop AC Universal Power Adapter Charger for ASUS DELL Lenovo Sony Toshiba Laptop,138 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-1&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",2
2,US $6.50,Universal 80W DC Car Charger Laptop Notebook Adapter Adjustable LED Auto Power Supply Set + 8 Detachable Plugs Computer Charger,146 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32788890852.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-2&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",3
3,US $9.84,34pcs Universal Laptop DC Power Supply Adapter Connector Plug DC Jack Charger Connecter Laptop Power Adapter Conversion Head,51 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-3&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",4
4,US $6.50,laptop adapter universal 96W 12v to 24v Adjustable Portable Charger laptop Accessories Power Supply macbook Adapter,26 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/32995631277.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-4&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",5
5,US $13.46,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba Hp Asus Acer Laptops Eu-Plug,1159 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-5&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",6
6,US $6.99,Universal Car 80W Power LED Auto Car Charger Adjustable Power Supply Adapter Set 8 Detachable Plugs For Laptop Notebook,904 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-6&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",7
7,US $11.28 - 11.47,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A Drop shippingWholesale dropshipping,222 Sold,Ur Pro Digital Store,https://www.aliexpress.com/store/4998150,"https://www.aliexpress.com/item/33055562905.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-7&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",8
8,US $10.63 - 11.09,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A,34 Sold,3C Fill-in U Store,https://www.aliexpress.com/store/5012049,"https://www.aliexpress.com/item/33043866070.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-8&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",9
9,US $11.07 - 11.24,DC In Car Charger Notebook Universal AC Adapter Power Supply For Laptop 100W 5A Drop shipping,25 Sold,Enjoying+e Store,https://www.aliexpress.com/store/2932027,"https://www.aliexpress.com/item/32838043343.html?algo_pvid=328d22b3-d28b-42c6-9f60-e43c056aeb83&algo_expid=328d22b3-d28b-42c6-9f60-e43c056aeb83-9&btsid=8bf0c6f5-e307-42bc-b49b-af4a0d47e0d2&ws_ab_test=searchweb0_0,searchweb201602_3,searchweb201603_53",10
