,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $7.84,Charger Adaptor Power-Supply-Adapter Universal Adjustable Ac Dc 24V 20V 19V 15V 18V 96W,625 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-0&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $7.84,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5.5A,217 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-1&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $13.70 - 14.92,Portable Charger Power-Adapter Laptops Acer Universal Toshiba Dell Hp Asus 24V 34pcs,369 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-2&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $8,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Sony Samsung Toshiba 19v 4.74a,159 Sold,IMBARW Laptop Charger Store Store,https://www.aliexpress.com/store/5585197,"https://www.aliexpress.com/item/4000802085227.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-3&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $6.50 - 11,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5A,912 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-4&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $12.74,Charger Power-Adapter Lenovo Universal 19v 3.42a Toshiba Laptop Acer Samsung Dell Asus,8 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000801734577.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-5&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $6.02 - 8.43,Power-Charger-Adapter Laptop Universal Optional-Power 96W with Different-Connectors And,104 Sold,Shop4992103 Store,https://www.aliexpress.com/store/4992103,"https://www.aliexpress.com/item/4000053369113.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-6&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $7.84,Adapter Motor Notebook Power-Charger Laptop Eu-Plug Charging 775 Universal for And 555/775/795/Motor,122 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269668140.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-7&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $6.96,Portable Charger Power-Supply-Adapter-Set Notebook Car Laptop Auto-Car-Adapter Universal,11 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32790927876.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-8&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $12.99,Adapter Charger Notebook Laptop-Tips Universal Lenovo Dell 34pcs for HP More All-In-One,22 Sold,Digital PY Store,https://www.aliexpress.com/store/2801093,"https://www.aliexpress.com/item/4000253125083.html?algo_pvid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd&algo_expid=2ddb0dba-1df4-48c8-ba43-bb5417c5fffd-9&btsid=0bb47a1a15893141801464053ec2a9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
