,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS 20V/24V DC 96W for Toshiba,1262 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942144691.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-0&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",1
1,US $12.96,Charger Power-Adapter Laptops Acer Universal Portable Toshiba Dell Asus 24V 96W 12V Eu,456 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-1&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",2
2,US $13.60,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,1174 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-2&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",3
3,US $6.16 - 9.24,CARPRIE Eu-Plug Notebook Power-Charger Laptop Ac Adapter Charging Universal 96W for Mar9,123 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/32799435466.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-3&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",4
4,US $7.61,Laptop-Charger Power-Adapter Notepads Netbook Universal Toshiba 19v 3.42a 65W for High-Quality,376 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810112786.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-4&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",5
5,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop Universal Adjustable 80W LED,862 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-5&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",6
6,US $10.50,Flashcolor Laptop-Charger-Adapter Universal 20V/24V DC AC 110-220v PC 96W,61 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32500831234.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-6&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",7
7,US $6.50,Charger Power-Adapter Laptops Acer Lenovo Universal Toshiba Portable Dell Hp Asus 24v,82 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/32992125132.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-7&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",8
8,US $12.72,AC Adapter Charger Notebook Universal Thinkpad T420 T520 T500 T510 Ibm/lenovo R500 90W,2 Sold,"Ice-blue ePower Co.,Ltd.",https://www.aliexpress.com/store/628540,"https://www.aliexpress.com/item/32389768488.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-8&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",9
9,US $17.28 - 18.85,Car-Charger-Adapter Universal Notebook/mobile-Phone Travel 100w for Universal/Power-charger/And/15connector,27 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/1791748370.html?algo_pvid=15af200c-0856-47ff-80f0-0f284ccd9c55&algo_expid=15af200c-0856-47ff-80f0-0f284ccd9c55-9&btsid=79013bba-3913-40c2-b288-764f86f60d46&ws_ab_test=searchweb0_0,searchweb201602_5,searchweb201603_55",10
