,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba 4-5A,1267 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942144691.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-0&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",1
1,US $7.04,Flashcolor Laptop-Charger-Adapter Universal Laptop 96W 110-220v DC AC PC 20V/24V,54 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32500831234.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-1&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",2
2,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop 8-Detachable-Plugs Universal,859 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-2&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",3
3,US $12.96,Portable Charger Power-Adapter Laptops Eu-Plug Acer Universal Toshiba 96W Dell Asus 24V,417 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-3&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",4
4,US $13.60,Charger Power-Adapter Toshiba Laptop Acer Hp Lenovo Universal Samsung 19v 4.74a Dell,1186 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-4&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",5
5,US $6.58,Adapter Charger Laptop ZG5 Acer Aspire 19v 1.58a 30W for One Aoa110/Aoa150/Zg5/..,153 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32789060934.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-5&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",6
6,US $12.48,Adapter Laptop Charger Power-Supply Asus 19V for X551x451c/F451c/X452e/Eu AC,23 Sold,Zoolhong Official Store,https://www.aliexpress.com/store/1729075,"https://www.aliexpress.com/item/32889473658.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-6&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",7
7,US $14.99,Basix Power-Adapter-Charger Power-Supply Pavilion Hp Laptop Envy 17 65W Original NEW,238 Sold,basix Official Store,https://www.aliexpress.com/store/3031009,"https://www.aliexpress.com/item/32959386419.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-7&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",8
8,US $41.90,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone,40 Sold,"Shenzhen Qirui Co., Ltd. Store",https://www.aliexpress.com/store/832431,"https://www.aliexpress.com/item/32619544738.html?s=p&algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-8&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",9
9,US $10.87,Laptop Charger Power-Adapter S200L S220x453m ASUS X201E EU 19V 33W for Adp-33aw/S200e/X202e/..,203 Sold,Smma Store,https://www.aliexpress.com/store/3253041,"https://www.aliexpress.com/item/32865455717.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-9&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",10
10,US $7.23,Power Laptop-Adapter Notebook-Charger RV411 R530 Samsung R428 19v 3.16a R540 R510,543 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32601553379.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-10&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",11
11,US $9.89,Laptop-Adapter N4030 1545 D630 D610 E6400 D620 1400 Dell Inspiron Pa-1900-02d AC,138 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32790959319.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-11&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",12
12,US $9.68,Laptop Charger Power-Adapter Pavilion 15-E029tx 17-J000 Envy 17 90W 15-Ppp012c-S,41 Sold,Smma Store,https://www.aliexpress.com/store/3253041,"https://www.aliexpress.com/item/32863912987.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-12&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",13
13,US $20.50,Replacement Charger Power-Adaptor Notebook Laptop Acer Universal 19V for 135W,1 Sold,E-electricity Store,https://www.aliexpress.com/store/1452638,"https://www.aliexpress.com/item/32488602804.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-13&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",14
14,US $13.53 - 16.43,Inverter Connectors Adapter-Cord Car-Charger Power-Supply Laptop Universal 120W,102 Sold,"Tinghui Trading Co., Ltd.",https://www.aliexpress.com/store/333670,"https://www.aliexpress.com/item/4000167935656.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-14&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",15
15,US $17.58,Charger Power-Adapter Laptop A1466 Apple Macbook Air 45W for 11/13-a1465/A1466/A1436,181 Sold,"SZYLING E-Commerce Co., Ltd Store",https://www.aliexpress.com/store/5041219,"https://www.aliexpress.com/item/4000037637385.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-15&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",16
16,US $7.04,Flashcolor Adapter Notebook Power-Charger Laptop Charging Universal NEW 96W for AC Eu/us/uk-plug,11 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32629663120.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-16&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",17
17,US $6.16 - 9.24,CARPRIE Eu-Plug Adapter Notebook Power-Charger Laptop Charging Universal 96W AC for Mar9,119 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/32799435466.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-17&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",18
18,US $8.21,HSW LAPTOP CHARGER ADAPTER Power-Supply DV5 DV3 Hp Pavilion 19v 4.74a 90w FOR Dv3/Dv4/Dv5/Dv6,441 Sold,SINWIN ELECTONIC Store,https://www.aliexpress.com/store/734968,"https://www.aliexpress.com/item/32888170029.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-18&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",19
19,US $9.99,Adapter Power-Charger-Supply Laptop E5400 E5530 Dell Latitude D810 D510 90W FOR D505/D510/D800/..,127 Sold,Zoolhong Official Store,https://www.aliexpress.com/store/1729075,"https://www.aliexpress.com/item/32343136892.html?algo_pvid=710f8db9-60f2-4172-8f59-ed6b170022e3&algo_expid=710f8db9-60f2-4172-8f59-ed6b170022e3-19&btsid=cf768d79-ce9d-463e-a5a4-9ecc4a12cbc8&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_55",20
