,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $13,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal HP Samsung 19v 4.74a Dell,1343 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-0&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $14.75 - 15.68,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Asus 96W 24V 34pcs,503 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-1&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $9.26,Power-Adapter-Charger Laptop Lenovo Universal DELL ASUS 96W DC for Sony Toshiba 4-5A,131 Sold,Good product Store,https://www.aliexpress.com/store/1901691,"https://www.aliexpress.com/item/32852511585.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-2&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $20.99 - 21.99,Ingelon Charger Power-Adapter Laptops Acer Lenovo Universal Toshiba Dell Adjustable 96W,40 Sold,Digital PY Store,https://www.aliexpress.com/store/2801093,"https://www.aliexpress.com/item/32951683532.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-3&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $14.92,Power-Adapter Notebook Laptop Adjustable Universal Supply 96W 12-24V for Multifunctional,11 Sold,E-intelligent Store,https://www.aliexpress.com/store/4813023,"https://www.aliexpress.com/item/4000088618114.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-4&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $16,Flashcolor Computer-Adaptor Power-Supply Notes Laptop Universal EU for 100W Multifunctional,64 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32658572003.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-5&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $15.80,Power-Adapter-Charger Laptop Universal Adjustable 120W DC AC 12V-24V USB5V2.4A Multifunctional,40 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000479173713.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-6&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $11,Laptop-Charger-Adapter Connectors-Tips Used Acer Universal Lenovo Toshiba 19v 4.74a Asus,55 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/4000390794131.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-7&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $7.09,Charger Power-Supply-Adapter-Set Notebook Car Laptop Auto-Car-Adapter Universal Adjustable,155 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32790927876.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-8&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $16.50,Charger Laptop Adapter Universal Xiaomi Google Asus-Hp Lenovo Dell 45W 5V USB 20V,3 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/4001101537131.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-9&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
10,US $12.61,Charger Adapter Notebook Power-Supply Aspire Laptop 5535 5315 Acer 19v 3.42a 65W,188 Sold,SowRay Store,https://www.aliexpress.com/store/227308,"https://www.aliexpress.com/item/4000447846596.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-10&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",11
11,US $7.91,Adapter Power-Supply Apd-60hz-Charger Universal Laptop PA-1600-66 AD-6019 19v 3.16a Samsung,175 Sold,Good product Store,https://www.aliexpress.com/store/1901691,"https://www.aliexpress.com/item/32850704130.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-11&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",12
12,US $14.25,Charger Power-Adapter Universal Laptop Acer A11-065N1A PA-1650 19v 3.42a 65W for B/adp-65,50 Sold,Shop4997533 Store,https://www.aliexpress.com/store/4997533,"https://www.aliexpress.com/item/4000087977155.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-12&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",13
13,US $10.10,Connector-Plug Charger Power-Supply-Adapter Laptop Jack DC 34pcs Universal,76 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-13&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",14
14,US $10.50,Flashcolor Adapter Power-Charger Laptop Universal Notebook Charging 96W NEW for AC Eu/us/uk-plug,31 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32629663120.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-14&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",15
15,US $8.94,Charger Laptop Adapter Power-Supply-Charger-Cord Notebook Universal for AC Envy4 HP,110 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32788932952.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-15&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",16
16,US $13.99,Jack-Charger Connector-Plug Power-Adapter Universal Laptop/notebook New DC for with Cable,9 Sold,KeChun Store,https://www.aliexpress.com/store/639727,"https://www.aliexpress.com/item/32796908525.html?algo_pvid=669ac802-6b25-4c75-843d-205266966523&algo_expid=669ac802-6b25-4c75-843d-205266966523-16&btsid=0b86d81915919061861935711ee992&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",17
