,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $12.40,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung 19v 4.74a Dell Asus,1238 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-0&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $15.02,34Pcs Universal Power Adapter 96W 12V To 24V Adjustable Portable Charger For Dell Toshiba,1244 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-1&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony AC 96W DELL ASUS DC for Toshiba 4-5A,205 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-2&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop Universal Adjustable 80W LED,874 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-3&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $6.50,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Samsung Toshiba 19v 4.74a,85 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269691078.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-4&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $38.16,Asus 19V 9.23A 180W 5.5*2.5mm ADP-180MB F AC Power Charger For Laptop Adapter,56 Sold,Win-win integrity online Store,https://www.aliexpress.com/store/1496114,"https://www.aliexpress.com/item/32855666544.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-5&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $10.10,Connector-Plug Charger Power-Supply-Adapter Laptop Jack DC 34pcs Universal,58 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-6&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $17.28 - 18.85,Car-Charger Power-Supply-Adapter Laptop Universal Usb-Power Mobile-Phone/notebook 100W,78 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/32327844257.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-7&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $17.28 - 18.85,Car-Charger-Adapter Universal Notebook/mobile-Phone Travel 100w for Universal/Power-charger/And/15connector,74 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/1791748370.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-8&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $8.22,Notebook-Adapter-Charger Notbook Power-Supply Asus Laptop 19v 4.74a Toshiba/hp AC,778 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32506206777.html?algo_pvid=9f77263a-d192-49ff-a7d7-37c70ce4605d&algo_expid=9f77263a-d192-49ff-a7d7-37c70ce4605d-9&btsid=0b86d81915820566160144704e21bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
