,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $14.39,Portable Charger Power-Adapter Laptops Eu-Plug Acer Universal Toshiba 96W Dell Asus 12V,1310 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-0&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony 96W DELL ASUS DC for Toshiba 4-5A,330 Sold,Suwang Store,https://www.aliexpress.com/store/5370052,"https://www.aliexpress.com/item/4000228359493.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-1&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $6.24,Charger Adapter Laptop-Accessories Power-Supply Macbook Universal Portable 96W 24v 12v,48 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/32995631277.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-2&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $6.24,Charger Power-Adapter Laptop Lenovo Acer Thinkpad Universal Samsung Toshiba 19v 4.74a,121 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269691078.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-3&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $9.84,Connector-Plug Charger Power-Supply-Adapter Laptop Jack 34pcs DC Universal,75 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-4&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $8.61 - 8.62,Power-Adapter Supply Notebook Laptop Adjustable Universal 96W 12-24V for Multifunctional,5 Sold,E-3C Store,https://www.aliexpress.com/store/4724004,"https://www.aliexpress.com/item/4000088592489.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-5&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $6.17,Power-Adapter-Charger Laptop Lenovo Universal 96W DELL ASUS Sony DC for Toshiba 4-5.5A,56 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-6&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $6.92,Adapter Power-Supply Apd-60hz-Charger Universal Laptop AD-6019 Samsung CPA09-004A 19V,199 Sold,Good product Store,https://www.aliexpress.com/store/1901691,"https://www.aliexpress.com/item/32850704130.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-7&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $41.90,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone,32 Sold,,,"https://www.aliexpress.com/item/32619544738.html?s=p&ad_pvid=202003081205411262425148744460000913710_1&algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-8&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $14.58,Charger Power-Adapter Laptops Acer Universal Us-Plug Portable 96W Dell Toshiba Asus 24V,6 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116263015.html?algo_pvid=bf1c5835-f9e8-4132-8773-d49b69fce7bc&algo_expid=bf1c5835-f9e8-4132-8773-d49b69fce7bc-9&btsid=0b86d80215836943409873510eb4a8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
