,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.50,Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS 96W DC for Toshiba 4-5A,1147 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942144691.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-0&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",1
1,US $13.40,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung Dell 90W Asus 20V,1168 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-1&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",2
2,US $6.16 - 9.24,CARPRIE Eu-Plug Adapter Notebook Power-Charger Laptop Charging Universal AC 96W for Mar9,71 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/32799435466.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-2&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",3
3,US $20.99,Ingelon Charger Power-Adapter Laptops Acer Lenovo Universal Toshiba Portable Dell Asus,345 Sold,Digital PY Store,https://www.aliexpress.com/store/2801093,"https://www.aliexpress.com/item/32951683532.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-3&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",4
4,US $13.68,Charger Power-Adapter Laptops Acer Universal Portable Toshiba Dell Asus 24V 34pcs 96W,211 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-4&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",5
5,US $42.90,Power-Supply Car-Charger Third-Generation Laptop-Adapter-90w Smart Universal Home LCD,112 Sold,"Shenzhen Crture Technology Co., Ltd",https://www.aliexpress.com/store/421091,"https://www.aliexpress.com/item/32617572014.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-5&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",6
6,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop Universal Adjustable 80W LED,770 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-6&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",7
7,US $6.50,Adapter Power-Charger Motor Notebook Laptop Charging Universal for 555 775 795 And AC,130 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942053060.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-7&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",8
8,US $41.90,Third Generation LCD Smart Universal AC Charger Laptop Adapter for HP/DELL/Samsung/Lenovo/Asus/ACER notebook with USB for Phone,25 Sold,"Shenzhen Qirui Co., Ltd. Store",https://www.aliexpress.com/store/832431,"https://www.aliexpress.com/item/32619544738.html?s=p&algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-8&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",9
9,US $12.13 - 15.09,Inverter Connectors Adapter-Cord Car-Charger Power-Supply Laptop Universal 120W 8xtip,29 Sold,"Tinghui Trading Co., Ltd.",https://www.aliexpress.com/store/333670,"https://www.aliexpress.com/item/4000167935656.html?algo_pvid=86715870-8c78-4872-8365-41ac17bf9312&algo_expid=86715870-8c78-4872-8365-41ac17bf9312-9&btsid=74907cc0-b045-4b01-81dd-bc3e6a6f11c1&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_55",10
