,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.17,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 20V 24V DC 15V AC 18V 96W,552 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-0&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",1
1,US $6.11,Power-Adapter-Charger Laptop Lenovo Universal Sony Toshiba DELL ASUS DC for 4-5.5A 96W,29 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-1&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",2
2,US $6.99,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop Universal Adjustable 80W LED,923 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-2&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",3
3,US $12.62,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Hp Asus 96w 12v,63 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-3&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",4
4,US $6.16 - 9.25,CARPRIE Eu-Plug Adapter Notebook Power-Charger Laptop Charging Universal AC 96W for Mar9,147 Sold,High Tech Paradise Store,https://www.aliexpress.com/store/2694024,"https://www.aliexpress.com/item/32799435466.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-4&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",5
5,US $9.15,Power-Adapter-Charger Laptop Lenovo Universal Sony Toshiba DELL ASUS DC for 4-5A 96W,147 Sold,Good product Store,https://www.aliexpress.com/store/1901691,"https://www.aliexpress.com/item/32852511585.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-5&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",6
6,US $42.06,Power-Supply Car-Charger Third-Generation Phone Laptop-Adapter-90w Smart Universal LCD,123 Sold,"Shenzhen Crture Technology Co., Ltd",https://www.aliexpress.com/store/421091,"https://www.aliexpress.com/item/32617572014.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-6&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",7
7,US $9,Charger Power-Adapter Laptop Carbon G400 Lenovo G505 G500 Thinkpad X1 20v 3.25a High-Quality,101 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32487768278.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-7&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",8
8,US $8.81,Charger Laptop Adapter Power-Supply-Charger-Cord Notebook Universal Envy4 for AC HP,172 Sold,KWOK Computer Accessories Store,https://www.aliexpress.com/store/1525243,"https://www.aliexpress.com/item/32788932952.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-8&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",9
9,US $10.10,Connector-Plug Charger Power-Supply-Adapter Conversion-Head Laptop Jack DC 34pcs,44 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=5bafa52a-3285-49d5-985b-04177bb81d46&algo_expid=5bafa52a-3285-49d5-985b-04177bb81d46-9&btsid=021345f7-562b-4f26-8757-57d5c851ce04&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",10
