,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $16.99,Power-Supply-Adapter Car-Charger Universal Laptop Pavilion 65W 19V 90W 45W for Hp Envy,1 Sold,Geris Store,https://www.aliexpress.com/store/222524,"https://www.aliexpress.com/item/4000252880615.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-0&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1
1,US $9.53 - 14.02,Laptop-Charger Power-Adapter Notepads Netbook Toshiba 19v 3.42a 65W for U305/P205/M30x,2 Sold,"Shenzhen NewNet Expansion Trading Co., Ltd Store",https://www.aliexpress.com/store/119025,"https://www.aliexpress.com/item/33043325837.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-1&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",2
2,US $7.54,Charger Power-Supply-Adapter Laptop 4545s Probook 6470b 19v 4.74a 90w Hot DC AC for HP,3 Sold,Miako Store,https://www.aliexpress.com/store/2918099,"https://www.aliexpress.com/item/33064079206.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-2&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",3
3,US $9.18,96W Universal Power Supply Charger for PC Laptop 12V-24V AC/DC Power Adapter,3 Sold,Shop4817064 Store,https://www.aliexpress.com/store/4817064,"https://www.aliexpress.com/item/4000405571578.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-3&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",4
4,US $6.11,Laptop-Adapter Power-Supply-Set Notebooks Led-Charger Adjustable Acer Universal Dell,103 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269649106.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-4&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",5
5,US $12.48 - 17.83,Power Notebook-Charger RV420 Samsung Laptop-Adapter R522 R510 R530 19V for R429/Rv411/R428/..,1 Sold,Win-win integrity online Store,https://www.aliexpress.com/store/1496114,"https://www.aliexpress.com/item/4000283369230.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-5&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",6
6,US $7.35 - 12.82,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal 19v 4.74a Dell Asus 20V Samsung,80 Sold,CoolEra Store,https://www.aliexpress.com/store/4491031,"https://www.aliexpress.com/item/32993977479.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-6&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",7
7,US $6.11,Power-Adapter-Charger Laptop Ac Lenovo Universal DELL ASUS DC 96W for Sony Toshiba 4-5.5A,109 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32941361090.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-7&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",8
8,US $8.46,JIGU Charger Laptop-Adapter Gateway Power-Supply Toshiba 19v 3.42a ASUS Acer Universal,1 Sold,Good quality laptop battery,https://www.aliexpress.com/store/1964082,"https://www.aliexpress.com/item/33021692310.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-8&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",9
9,US $8.47,Laptop Charger Power-Adapter B570 G470 Lenovo Z500 20v 3.25a AC for Ibm/Z500/B470/..,3 Sold,Pioneerpet store,https://www.aliexpress.com/store/1078001,"https://www.aliexpress.com/item/4000007355769.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-9&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",10
10,US $13.63 - 14.35,Charger Power-Adapter Laptops Acer Universal Adjustable 34pcs Toshiba Dell Asus 24V 96W,199 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-10&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",11
11,US $11.99,Laptop-Adapter Charger Acer Aspire Eu-Power-Cord Universal 19v 4.74a 90W for 4720G 4730g/492ac/4750g/..,1 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32599974842.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-11&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",12
12,US $12.46,Asus Adapter Laptop Power-Charger 19V 40W for EEE PC X101x101h/X101ch/R011px/.. AC,1 Sold,"Shenzhen NewNet Expansion Trading Co., Ltd Store",https://www.aliexpress.com/store/119025,"https://www.aliexpress.com/item/4000151129210.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-12&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",13
13,US $11.13,Charger Power-Supply-Adapter Laptop 1000 19 Dell 90W AC for Vostro 1000/1400/1500/..,1 Sold,NewTop DigitalEra Store,https://www.aliexpress.com/store/5095070,"https://www.aliexpress.com/item/4000087591276.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-13&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",14
14,US $9.90,JIGU Adapter Laptop-Charger Power-Supply 19v 4.74a Asus Ac 90W for Laptop-charger/Adp-90ab/Adp-90cd/..,2 Sold,Laptop accessories sales Store,https://www.aliexpress.com/store/510567,"https://www.aliexpress.com/item/33028983475.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-14&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",15
15,US $17.09,Replacement Laptop-Charger Power-Adapter Notebook Universal M14x19.5v Dell 150W for M11x/R2/R3/..,21 Sold,Yingfan Trading Company Store,https://www.aliexpress.com/store/2820001,"https://www.aliexpress.com/item/33047896183.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-15&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",16
16,US $7.88 - 13.30,Charger Power-Adapter Lenovo Toshiba Laptop Universal 19v 4.74a Dell Asus 20V Acer Samsung,7 Sold,jackie shen's store,https://www.aliexpress.com/store/505394,"https://www.aliexpress.com/item/32979767907.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-16&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",17
17,US $14.09,Charger Power-Adapter Laptops Acer Universal Adjustable Toshiba Dell Asus 24V 34pcs 96W,1416 Sold,Your Offi-ce Club 666,https://www.aliexpress.com/store/2215126,"https://www.aliexpress.com/item/33035020392.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-17&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",18
18,US $8.29 - 8.74,Universal Laptop Charger Thinkpad Ibm/lenovo Low-Energy-Adapter for Adjustable Output-Voltage,1 Sold,Shop4992103 Store,https://www.aliexpress.com/store/4992103,"https://www.aliexpress.com/item/4000053311881.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-18&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",19
19,US $10.92,Adapter Charger-Cord Universal Notebook Laptop Power-Supply 120W for New Support AC,9 Sold,Clarice Store,https://www.aliexpress.com/store/5085197,"https://www.aliexpress.com/item/33059497970.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-19&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",20
20,US $9.72,Power-Adapter-Charger Toshiba Laptop Universal Sony ASUS DC for Eu-Plug AC 20v/24v,6 Sold,JETTING Digital Store,https://www.aliexpress.com/store/1818041,"https://www.aliexpress.com/item/32807346118.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-20&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",21
21,US $6.11,Charger Power-Adapter Laptop Lenovo Acer Universal Toshiba 19v 4.74a DELL ASUS Thinkpad,144 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/4000269691078.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-21&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",22
22,US $6.97,Charger Laptop UX21E UX31 Asus Zenbook Adapter Power-Supply 19v 2.37a AC for Ux21/Ux21e/Ux31/..,4 Sold,Leslie ConsumerElectronics Store,https://www.aliexpress.com/store/714715,"https://www.aliexpress.com/item/32918342338.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-22&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",23
23,US $7.89,Charger Power-Adapter Laptop Universal Connector Home for HP Easy-Operate Office Plastic,3 Sold,Jewelry Mall -Moonar,https://www.aliexpress.com/store/1751466,"https://www.aliexpress.com/item/4000287157787.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-23&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",24
24,US $12.29,Adapter Replacement Universal Charger Notebook Power Lenovo 120W New for DC,7 Sold,POR 3C FUN Store,https://www.aliexpress.com/store/2883133,"https://www.aliexpress.com/item/4000018022741.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-24&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",25
25,US $16.39,Power-Adapter Car-Charger T61 Universal Laptop Carbon Lenovo Thinkpa 20V G500 G505 90W,14 Sold,Geris Store,https://www.aliexpress.com/store/222524,"https://www.aliexpress.com/item/4000125542268.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-25&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",26
26,US $9.15,Power-Adapter-Charger Toshiba Laptop Lenovo Universal DELL ASUS Sony DC for 4-5A 96W,136 Sold,Good product Store,https://www.aliexpress.com/store/1901691,"https://www.aliexpress.com/item/32852511585.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-26&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",27
27,US $6.30,Laptop Adapter Charger Notebook Replacements G60 Hp Pavilion 19v 4.74a 90W DV5 DV4 DV7,7 Sold,hangxing Store,https://www.aliexpress.com/store/2836073,"https://www.aliexpress.com/item/32968868934.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-27&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",28
28,US $9.08,Replacement Notebook-Adapter Power-Charger Laptop Universal 96W Dell/hp New for Adjustable,7 Sold,Y&K 3C Digital Store,https://www.aliexpress.com/store/1500813,"https://www.aliexpress.com/item/4000221258205.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-28&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",29
29,US $8.46,JIGU Charger Laptop-Adapter Gateway Power-Supply Universal Toshiba 19v 3.42a ASUS Acer,18 Sold,Laptop accessories sales Store,https://www.aliexpress.com/store/510567,"https://www.aliexpress.com/item/33027414763.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-29&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",30
30,US $9.94,Charger Laptop Power-Adapter-Input 19v 4.74a Samsung 90W for R540 AC Replacement 100-240V,1 Sold,"Top Laptop battery Electronic Technology co., LTD",https://www.aliexpress.com/store/1032132,"https://www.aliexpress.com/item/1956564905.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-30&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",31
31,US $18.25,Laptop-Charger 135W Power-Adapter-Replacement Notebook Universal 19V New with HP Compatible,4 Sold,Y&K 3C Digital Store,https://www.aliexpress.com/store/1500813,"https://www.aliexpress.com/item/4000221201898.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-31&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",32
32,US $6.45,Power-Adapter Charger Universal Laptop 5V 3V 6V AC/DC EU 12V Eu-Plug,5 Sold,Shop3249111 Store,https://www.aliexpress.com/store/3249111,"https://www.aliexpress.com/item/32844478032.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-32&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",33
33,US $9.61,Car-Charger Laptop Hp Pavilion Usb-Power-Adapter G60 19v 4.74a 90W for Dv4/Dv5/Dv6-1355dx/..,5 Sold,3C World Light Store,https://www.aliexpress.com/store/4244001,"https://www.aliexpress.com/item/4000180063655.html?algo_pvid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc&algo_expid=cb9fe8d5-e39f-471d-aee4-7dcbb00966fc-33&btsid=0bb47aa615858581813106873eec34&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",34
