,item_price,item_title,item_sold,store_name,store_url,item_url,rank
0,US $6.64,Power-Supply-Adapter-Set Notebook Auto-Car-Charger Laptop Universal Adjustable 80W LED,917 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32810164959.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-0&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",1
1,US $6.93,Flashcolor Power-Adapter-Charger Laptop Lenovo Universal Sony DELL ASUS DC 96W for Toshiba,171 Sold,"Shen Zhen Ying Chao XIN Electronic Technology Co., LTD",https://www.aliexpress.com/store/911146,"https://www.aliexpress.com/item/32631213146.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-1&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",2
2,US $8.29,Power-Suppy-Adapter Notebook-Charger Laptop Acer Aspire 5920 19v 3.42a 6920 New for 5315/5630/5735/..,918 Sold,KWOKKERK Laptop Charger Store,https://www.aliexpress.com/store/1091687,"https://www.aliexpress.com/item/32632600938.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-2&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",3
3,US $10.10,Connector-Plug Power-Supply-Adapter Conversion-Head Jack Laptop DC 34pcs,34 Sold,Computer Idealhere Store,https://www.aliexpress.com/store/4376018,"https://www.aliexpress.com/item/4000021566216.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-3&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",4
4,US $7.35 - 12.82,Charger Power-Adapter Lenovo Toshiba Laptop Acer Universal Samsung Dell Asus 19v 4.74a,183 Sold,CoolEra Store,https://www.aliexpress.com/store/4491031,"https://www.aliexpress.com/item/32993977479.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-4&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",5
5,US $12.54,Charger Power-Adapter Laptops Acer Universal Portable Toshiba Dell Asus 24V 34pcs 96W,35 Sold,JUNZI'S Store,https://www.aliexpress.com/store/5227047,"https://www.aliexpress.com/item/4000116319127.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-5&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",6
6,US $17.28 - 18.85,Car-Charger-Adapter Travel Universal Notebook/mobile-Phone 100w for Universal/Power-charger/And/15connector,46 Sold,AMARROW Official Store,https://www.aliexpress.com/store/1165358,"https://www.aliexpress.com/item/1791748370.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-6&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",7
7,US $6.17,Universal Charger Adaptor Power-Supply-Adapter Adjustable 19V 20V 24V DC 15V AC 18V 96W,603 Sold,ShopFly Store,https://www.aliexpress.com/store/4514019,"https://www.aliexpress.com/item/33002563321.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-7&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",8
8,US $11.80,19V 4.74A 90W Universal Power Adapter Charger For Acer Asus Dell HP Lenovo Samsung Toshiba Laptop 18.5V 19.5V 20V,1116 Sold,Power Adapter Specialist,https://www.aliexpress.com/store/1721395,"https://www.aliexpress.com/item/32597758635.html?s=p&algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-8&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",9
9,US $6.11,AC Adapter Motor Notebook Laptop Charging Universal for 555 775 795 And Eu/us/uk-plug,144 Sold,2812046 Store,https://www.aliexpress.com/store/2812046,"https://www.aliexpress.com/item/32942053060.html?algo_pvid=e3e19e33-df53-4ade-9c57-d1b194da803f&algo_expid=e3e19e33-df53-4ade-9c57-d1b194da803f-9&btsid=9edb5a30-f026-4bb1-a482-e04dc82ac2d9&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_53",10
