,job_location,job_title,job_company,job_price,job_price_min,job_price_max
304,深圳,系统工程师-大数据（外资银行）[东门],开泰银行,25k-35k,25,35
305,深圳,数据产品经理[科技园],蕾奥规划,14k-18k,14,18
306,深圳,数据运营经理[南山区],橡树黑卡,15k-25k,15,25
307,深圳,数据产品经理（新能源）[西丽],道通科技,20k-40k,20,40
308,深圳,量化数据分析师[大冲],柒零壹,20k-30k,20,30
309,深圳,数据分析师[南山区],柒零壹,20k-30k,20,30
310,深圳,IT数据安全工程师（外资银行）[东门],开泰银行,15k-25k,15,25
311,深圳,大数据讲师[新安],传智教育,30k-55k,30,55
312,深圳,数据安全专家[科技园],新大瀚人力资源,70k-100k,70,100
313,深圳,数据产品经理[大冲],深圳飞之度科技有限公司,20k-30k,20,30
314,深圳,数据分析专员[福永],大族数控,8k-15k,8,15
315,深圳,数据产品经理[科技园],蕾奥规划,14k-18k,14,18
316,深圳,数据运营经理[南山区],橡树黑卡,15k-25k,15,25
317,深圳,数据产品经理（新能源）[西丽],道通科技,20k-40k,20,40
318,深圳,量化数据分析师[大冲],柒零壹,20k-30k,20,30
319,深圳,数据分析师[南山区],柒零壹,20k-30k,20,30
320,深圳,数据分析师[科技园],深圳市慧择软件集团有限公司,25k-50k,25,50
321,深圳,数据分析岗[南山区],招银网络科技,15k-30k,15,30
322,深圳,IT数据安全工程师（外资银行）[东门],开泰银行,15k-25k,15,25
323,深圳,大数据讲师[新安],传智教育,30k-55k,30,55
324,深圳,数据安全专家[科技园],新大瀚人力资源,70k-100k,70,100
325,深圳,数据产品经理[大冲],深圳飞之度科技有限公司,20k-30k,20,30
326,深圳,数据分析专员[福永],大族数控,8k-15k,8,15
327,深圳,大数据开发工程师[新洲],尚简商务咨询中心,13k-22k,13,22
328,深圳,数据分析运营经理[南山区],招联金融,15k-28k,15,28
329,深圳,数据运营[南山区],驱动人生,10k-13k,10,13
330,深圳,数据平台开发经理[福田区],印力集团,15k-30k,15,30
331,深圳,游戏数据分析实习生(RYDV)[上梅林],CMGE中手游,3k-4k,3,4
332,深圳,数据分析师[车公庙],优学派智慧教育,20k-35k,20,35
333,深圳,大数据项目经理[益田村],中科保泰,20k-30k,20,30
334,深圳,大数据开发工程师[福田区],维恩贝特,12k-15k,12,15
335,深圳,大数据组件开发工程师 (MJ005347)[西丽],SHEIN,20k-40k,20,40
336,深圳,数据分析师/策略分析师（高级）[西乡],万顺叫车,20k-30k,20,30
337,深圳,高级海外增长数据分析师[南山区],富途,25k-35k,25,35
338,深圳,高级数据分析师[福田区],创意智慧港,25k-35k,25,35
339,深圳,大数据架构师[南山区],极视角,25k-40k,25,40
340,深圳,大数据开发工程师[福田区],Gridsum 国双,10k-17k,10,17
341,深圳,大数据开发工程师(j10189)[沙嘴],转转,22k-35k,22,35
342,深圳,大数据开发(J10189)[沙嘴],转转,20k-35k,20,35
343,深圳,大数据开发工程师[福田区],Gridsum 国双,9k-17k,9,17
344,深圳,大数据开发工程师[南山区],进化论资产管理有限公司,15k-30k,15,30
345,深圳,大数据开发工程师[新洲],拉勾集团,25k-30k,25,30
346,深圳,数据营销算法专家[南山区],众安保险,55k-65k,55,65
347,深圳,Java 开发工程师（大数据应用）[南山区],AfterShip,20k-40k,20,40
348,深圳,技术支持（大数据传输） (MJ000063)[前海],瑞云科技,15k-20k,15,20
349,深圳,数据分析师（深圳/珠海）[宝安区],尚米网络,6k-10k,6,10
350,深圳,大数据架构师[南山区],惟客数据,25k-35k,25,35
351,深圳,数据库管理员[南山区],双照科技,20k-40k,20,40
352,深圳,软件开发工程师（数据&amp;开发）[福田区],海浦投资,15k-30k,15,30
353,深圳,大数据开发工程师[福田区],万科物业,14k-28k,14,28
354,深圳,数据分析师（金融行业外派大厂长期稳定）[西丽],同和科技,10k-17k,10,17
355,深圳,大数据开发工程师（is03017）[大冲],禅游,15k-30k,15,30
356,深圳,中级产销协同岗（数据分析）[南山区],DJI大疆创新,15k-25k,15,25
357,深圳,大数据测试工程师[西乡],万顺叫车,15k-25k,15,25
358,深圳,数据库架构师（深圳）[科技园],华云中盛,30k-45k,30,45
359,深圳,大数据应用研发工程师[南山区],顺丰国际,25k-50k,25,50
360,深圳,Java 开发工程师（大数据应用）[南山区],AfterShip,20k-40k,20,40
361,深圳,技术支持（大数据传输） (MJ000063)[前海],瑞云科技,15k-20k,15,20
362,深圳,数据分析师（深圳/珠海）[宝安区],尚米网络,6k-10k,6,10
363,深圳,大数据架构师[南山区],惟客数据,25k-35k,25,35
364,深圳,数据库管理员[南山区],双照科技,20k-40k,20,40
365,深圳,软件开发工程师（数据&amp;开发）[福田区],海浦投资,15k-30k,15,30
366,深圳,大数据开发工程师[福田区],万科物业,14k-28k,14,28
367,深圳,数据分析师（金融行业外派大厂长期稳定）[西丽],同和科技,10k-17k,10,17
368,深圳,大数据开发工程师（is03017）[大冲],禅游,15k-30k,15,30
