,job_location,job_title,job_company,job_price,job_price_min,job_price_max
157,广州,cda数据分析师|客服营运数据方向[天河区],联合电服,9k-15k,9,15
158,广州,数据分析师(J10706)[珠江新城],广州中康数字科技有限公司,15k-25k,15,25
159,广州,数据分析师[天河区],北京蜜莱坞网络科技有限公司,15k-30k,15,30
160,广州,用户增长分析专家[珠江新城],FunPlus 趣加游戏,30k-50k,30,50
161,广州,战略分析师[增城],电子五所,10k-20k,10,20
162,广州,需求分析师[黄埔区],赛博威,10k-18k,10,18
163,广州,ba需求分析师（外企）[东风东],信必优Symbio(深圳),18k-23k,18,23
164,广州,高级游戏数据分析师[天河区],网易,15k-30k,15,30
165,广州,数据分析师-GZ[天河区],深演智能,12k-22k,12,22
166,广州,数据分析师[南沙区],积分猫,15k-30k,15,30
167,广州,数据分析员实习生[岭南],广州市西美信息科技有限公司,1k-2k,1,2
168,广州,需求分析师[官洲],卓明信息,9k-18k,9,18
169,广州,股票分析师[海珠区],知府网络,5k-10k,5,10
170,广州,大数据分析实习生[南沙区],广州软件院,2k-4k,2,4
171,广州,宏观分析师[东环],经传多赢,8k-15k,8,15
172,广州,游戏数据分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
173,广州,游戏产品分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
174,广州,数据分析师[登峰],广东智源,6k-12k,6,12
175,广州,情感分析师/情感销售[永平],广州我知你心文化传播有限公司,15k-30k,15,30
176,广州,需求分析师/业务分析师[天河区],深圳隽思信息科技有限公司,6k-12k,6,12
177,广州,数据分析研究专员(工作地点杭州)[珠江新城],之江实验室,18k-30k,18,30
178,广州,财务BP/财务分析[天河区],pwu-朴物大美,10k-15k,10,15
179,广州,数据分析师[越秀区],嘉盛达科技,6k-8k,6,8
180,广州,医疗大数据分析挖掘 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
181,广州,需求分析工程师[新港],天翼云科技有限公司,15k-30k,15,30
182,广州,证券分析师[越秀区],鹏盛信息,15k-25k,15,25
183,广州,金融分析实习[海珠区],金十数据,3k-4k,3,4
184,广州,需求分析师[天河北],玄武科技,11k-16k,11,16
185,广州,需求分析师（中国电信）[珠江新城],汇渠人力资源服务,15k-22k,15,22
186,广州,商业分析专家[新港],唯品会,50k-100k,50,100
187,广州,财经记者/证券分析师/股票分析师/金融分析师[江南大道],金证研,9k-18k,9,18
188,广州,电商需求分析-IT副经理-OMS系统[珠江新城],斯凯奇 Skechers,15k-25k,15,25
189,广州,电商需求分析-IT经理-OMS系统[珠江新城],斯凯奇 Skechers,15k-25k,15,25
190,广州,高级数据分析师 (MJ001105)[番禺区],细刻科技,25k-30k,25,30
191,广州,高级需求分析师[天河北],玄武科技,15k-22k,15,22
